t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
35.9000000000001,6.6863230086083725,5.268381159012527,1.0093320853773609,RUN,1.7314247153300621,4.390681085538746,0.5469491978975454,0.64,0.014601495682844553
35.950000000000095,6.703350758088103,5.295474621363663,1.0100621601615032,RUN,1.7000253310011186,4.3586816838735984,0.5667820259149523,0.64,0.013051645841811331
36.00000000000009,6.720359773092461,5.322579849129561,1.0107147424535938,RUN,1.668555913524707,4.32668216190686,0.5871133527036387,0.64,0.011666905602712848
36.05000000000009,6.737352034861601,5.349695582771311,1.0112980877337296,RUN,1.6370240902533495,4.294682543865637,0.6079205076819594,0.64,0.010429629724558988
36.10000000000009,6.754329314993015,5.376820699105323,1.0118195692199574,RUN,1.6017967160377085,4.262682849090626,0.6291815738963427,0.64,0.009324063938394182
36.150000000000084,6.771293197562386,5.403954196292872,1.0122857724168774,RUN,1.5667475361366017,4.23068309302308,0.6508754253256863,0.64,0.008336141800979878
36.20000000000008,6.788245098931029,5.431095180526377,1.0127025795069269,RUN,1.5319023092054955,4.198683287992162,0.6729817509739209,0.64,0.007453303420742597
36.25000000000008,6.805186285476765,5.458242854212571,1.0130752446779638,RUN,1.497247769185298,4.166683443843028,0.6954810677042647,0.64,0.0066643336959134655
36.300000000000075,6.822117889462035,5.485396505477375,1.0134084613627596,RUN,1.462772488752963,4.134683568438091,0.7183547236002488,0.64,0.0059592179607238826
36.35000000000007,6.839040923231991,5.512555498839518,1.013706422260796,RUN,1.4284665981072349,4.102683668056865,0.7415848934627332,0.64,0.005329013162169612
36.40000000000007,6.855956291915859,5.539719266918169,1.0139728729189041,RUN,1.3943215506349604,4.070683747715183,0.7651545678754936,0.64,0.00476573289316116
36.45000000000007,6.872864804787625,5.566887303056603,1.014211159563562,RUN,1.3603299269529958,4.038683811419898,0.7890475371011609,0.64,0.00426224478843167
36.500000000000064,6.889767185426166,5.594059154757829,1.0144242718029837,RUN,1.326485270523527,4.006683862372118,0.8132483709070011,0.64,0.0038121789511036674
36.55000000000006,6.906664080800709,5.621234417840313,1.014614880750539,RUN,1.292781949365723,3.974683903129509,0.8377423952693339,0.64,0.0034098462216325186
36.60000000000006,6.923556069394124,5.648412731233165,1.0147853730616205,RUN,1.2592150394260282,3.9426839357358983,0.8625156667673175,0.64,0.003050165228444167
36.650000000000055,6.940443668465974,5.675593772339141,1.0149378813230427,RUN,1.225780225991271,3.910683961824606,0.8875549453533804,0.64,0.0027285972756574267
36.70000000000005,6.957327340545305,5.702777252902351,1.015074311186826,RUN,1.1924737201837599,3.8786839827010766,0.9128476660754321,0.64,0.0024410882229369403
36.75000000000005,6.974207499235149,5.729962915324563,1.0151963655979728,RUN,1.1592921881016442,3.8466839994088073,0.9383819102294844,0.64,0.0021840166061804452
36.80000000000005,6.99108451440074,5.757150529380965,1.0153055664282817,RUN,1.1262326905911952,3.814684012782011,0.9641463763345703,0.64,0.001954147325895249
36.850000000000044,7.007958716807536,5.784339889290976,1.0154032737945764,RUN,1.0932926319806615,3.782684023487588,0.9901303512490804,0.64,0.0017485903061859732
36.90000000000004,7.0248304022668435,5.811530811105257,1.0154907033098857,RUN,1.0604697163853771,3.750684032058747,1.0163236816826953,0.64,0.0015647635883860693
36.95000000000004,7.041699835340637,5.838723130374603,1.0155689414893052,RUN,1.0277619104229556,3.718684038922026,1.0427167463037823,0.64,0.0014003603820799788
37.000000000000036,7.058567252654029,5.865916700069619,1.0156389595084097,RUN,0.9951674113652479,3.686684044418484,1.0693004285979135,0.64,0.0012533196505744816
37.05000000000003,7.075432865855078,5.893111388724037,1.0157016254909381,RUN,0.9626846199113289,3.654684048821058,1.09606609059113,0.64,0.0011217998474754248
37.10000000000003,7.092296864261186,5.920307078777682,1.0157577154833124,RUN,0.9303121168927152,3.622684052347728,1.1230055475229055,0.64,0.00100415546903541
